Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-05,16.9,17.15,16.9,17.0,3636500,0.0,0.0
2026-01-06,17.01,17.14,17.0,17.04,1882200,0.0,0.0
2026-01-07,16.5,16.7,16.32,16.33,1981300,0.0,0.0
2026-01-08,16.2,16.26,16.09,16.15,2829300,0.0,0.0
2026-01-09,16.17,16.37,16.06,16.29,99480,0.0,0.0
